Culture,Category,Original Meaning,Affix,Archaic Affix,Archaic Example,Intermediate Example,Modern Example
Latvian/Latgalian,Engineering,village,$ciems,$ciems,Vecs-ciems,Vecciems,Veciems
Latvian/Latgalian,Fortification,castle,$pils,$pils,Jauna-pils,Jaunpils,Jaunpils
Latvian/Latgalian,Topography,bog,$purvs,$purvs,Melns-purvs,Melnpurvs,Melpurvs
Latvian/Latgalian,Topography,field,$lauks,$lauks,Garais-lauks,Garaislauks,Garalauks
Latvian/Latgalian,Topography,forest,$mezs,$mezs,Vecs-mezs,Vecmezs,Vecmezs
Latvian/Latgalian,Topography,hill,$kalns,$kalns,Augsts-kalns,Augstkalns,Augstkalns
Latvian/Latgalian,Topography,island,$sala,$sala,Liela-sala,Lielasala,Lielsala
Latvian/Latgalian,Topography,lake,$ezers,$ezers,Melns-ezers,Melnezers,Melnezers
Latvian/Latgalian,Topography,marsh,$purvs,$purvs,Melns-purvs,Melnpurvs,Melpurvs
Latvian/Latgalian,Topography,river,$upe,$upe,Balta-upe,Baltupe,Baltupe
Livonian,Engineering,village,$kula,$kula,Uz-kula,Uzkula,Uzkula
Livonian,Topography,island,$sar,$sar,Suur-sar,Suursar,Suursaar
Livonian,Topography,lowland,$land,$lond,Musta-lond,Mustaland,Mustland
Livonian,Topography,river,$jog,$joga,Valda-joga,Valdajog,Valdjog
Livonian,Topography,shore,$rand,$randa,Liiv-randa,Liivrand,Liivrand
Livonian,Topography,wetland,$land,$lond,Musta-lond,Mustaland,Mustland
Lombard,Engineering,enclosure,$gard,$gard,Wini-gard,Vinegard,Vingard
Lombard,Engineering,farm,$dof,$hof,Waldo-hof,Valdof,Valdof
Lombard,Engineering,kin-group,Fara$,Fara$,Fara-adda,Fara d Adda,Fara
Lombard,Engineering,manor,$sal,$sala,Ragin-sala,Rainsala,Ransal
Lombard,Engineering,people,$engo,$ingas,Albo-ingas,Albengo,Albenga
Lombard,Fortification,hill fort,$bard,$bergo,Longo-bargo,Longobargo,Lombard
Lombard,Fortification,military camp,Fara$,Fara$,Fara-adda,Fara d Adda,Fara
Lombard,Topography,borderland,$mark,$marka,Lango-marka,Langmark,Lambric
Lombard,Topography,march,$mark,$marka,Lango-marka,Langmark,Lambric
Lombard,Topography,wood,$vald,$wald,Gero-wald,Girovaldo,Givald
Messapic,Engineering,settlement,$ales,$ales,Balet-ales,Baletales,Baletium
Messapic,Engineering,settlement,$ion,$ion,Uzent-ion,Uzentium,Ugento
Messapic,Engineering,settlement,$uba,$uba,Sal-uba,Saluba,Salve
Messapic,Engineering,settlement,Brunda$,Brunda$,Brund-a,Brunda,Brindisi
Middle Dutch,Engineering,bridge,$brug,$brugge,Amstel-brugge,Amstelbrug,Amstelbrug
Middle Dutch,Engineering,dam,$dam,$damme,Amstel-redamme,Amsteldam,Amsterdam
Middle Dutch,Engineering,dike,$dijk,$dijc,Zee-dijc,Zeedijk,Zeedijk
Middle Dutch,Engineering,home,$hem,$heem,Arn-heem,Arnem,Arnhem
Middle Dutch,Engineering,house,$huizen,$husen,Blaric-husen,Blarikhusen,Blaricum
Middle Dutch,Engineering,lock,$sluis,$sluse,Middel-sluse,Middelsluis,Middelsluis
Middle Dutch,Engineering,port,$haven,$haven,Rotter-haven,Rotterdam,Rotterdam
Middle Dutch,Engineering,reclaimed lowland,$polder,$polder,Nieuw-polder,Nieuwpolder,Nieuwpolder
Middle Dutch,Engineering,settlement,$hem,$heem,Arn-heem,Arnem,Arnhem
Middle Dutch,Engineering,settlement,$land,$lant,Water-lant,Waterlant,Waterland
Middle Dutch,Engineering,settlement,$wijk,$wic,Bever-wic,Beverwijk,Beverwijk
Middle Dutch,Engineering,settlement cluster,$huizen,$husen,Blaric-husen,Blarikhusen,Blaricum
Middle Dutch,Engineering,shipyard,$werf,$werf,Scheeps-werf,Scheepswerf,Scheepswerf
Middle Dutch,Engineering,sluice,$sluis,$sluse,Middel-sluse,Middelsluis,Middelsluis
Middle Dutch,Engineering,village,$dorp,$dorp,Middle-dorp,Middendorp,Middendorp
Middle Dutch,Engineering,wharf,$werf,$werf,Scheeps-werf,Scheepswerf,Scheepswerf
Middle Dutch,Fortification,fortified town,$burg,$burch,Middel-burch,Middelburgh,Middelburg
Middle Dutch,Sacred,church,$kerk,$kerke,Nieu-kerke,Nieuwerkerk,Nieuwerkerk
Middle Dutch,Topography,field,$veld,$velt,Hoge-velt,Hoogeveld,Hoogeveld
Middle Dutch,Topography,ford,$foort,$voort,Amers-voort,Amersfoort,Amersfoort
Middle Dutch,Topography,harbor,$haven,$haven,Rotter-haven,Rotterdam,Rotterdam
Middle Dutch,Topography,lake,$meer,$mere,Zoeter-mere,Soetermeer,Zoetermeer
Middle Dutch,Topography,land,$land,$lant,Water-lant,Waterlant,Waterland
Middle Dutch,Topography,marsh,$broek,$broec,Hoge-broec,Hoogebroek,Hoogebroek
Middle Dutch,Topography,mere,$meer,$mere,Zoeter-mere,Soetermeer,Zoetermeer
Middle Dutch,Topography,open land,$veld,$velt,Hoge-velt,Hoogeveld,Hoogeveld
Middle Dutch,Topography,peatland,$veen,$ven,Hoog-ven,Hoogeveen,Hoogeveen
Middle Dutch,Topography,pond,$plas,$plas,Nieuw-plas,Nieuwplas,Nieuwplas
Middle Dutch,Topography,river island,$waard,$weerd,Bommeler-weerd,Bommelerwaard,Bommelerwaard
Middle Dutch,Topography,river meadow,$waard,$weerd,Bommeler-weerd,Bommelerwaard,Bommelerwaard
Middle Dutch,Topography,small lake,$plas,$plas,Nieuw-plas,Nieuwplas,Nieuwplas
Middle Dutch,Topography,small wood,$hout,$hout,Berken-hout,Berkenhout,Berkenhout
Middle Dutch,Topography,timber,$hout,$hout,Berken-hout,Berkenhout,Berkenhout
Middle Dutch,Topography,wet meadow,$broek,$broec,Hoge-broec,Hoogebroek,Hoogebroek
Middle Dutch,Topography,wood,$bos,$bosch,Den-bosch,Den Bosch,Den Bosch
Middle Dutch,Topography,wooded clearing,$loo,$lo,Water-lo,Waterlo,Waterloo
Middle English,Engineering,bridge,$bridge,$brycge,Grant-brycge,Grentebrige,Cambridge
Middle English,Engineering,common land,$common,$commune,West-commune,Westcommon,West Common
Middle English,Engineering,landing place,$quay,$kay,New-kay,Newkay,Newquay
Middle English,Engineering,lane,$lane,$lane,Mille-lane,Millelane,Mill Lane
Middle English,Engineering,major street,$street,$strete,Watling-strete,Watlingstrete,Watling Street
Middle English,Engineering,market,$market,$market,Stane-market,Stonmarket,Stowmarket
Middle English,Engineering,mill,$mill,$mille,Bourne-mille,Bournemille,Bournemill
Middle English,Engineering,milling site,$mill,$mille,Bourne-mille,Bournemille,Bournemill
Middle English,Engineering,narrow road,$lane,$lane,Mille-lane,Millelane,Mill Lane
Middle English,Engineering,open common,$green,$grene,Est-grene,Estgrene,East Green
Middle English,Engineering,paved road,$street,$strete,Watling-strete,Watlingstrete,Watling Street
Middle English,Engineering,quay,$quay,$kay,New-kay,Newkay,Newquay
Middle English,Engineering,quay,$wharf,$wharf,Stane-wharf,Stanewharf,Stone Wharf
Middle English,Engineering,street,$gate,$gata,Mickle-gata,Mikelgate,Micklegate
Middle English,Engineering,village,$ville,$ville,Bourne-ville,Bournville,Bournville
Middle English,Engineering,village green,$green,$grene,Est-grene,Estgrene,East Green
Middle English,Engineering,water landing,$wharf,$wharf,Stane-wharf,Stanewharf,Stone Wharf
Middle English,Fortification,fortified place,$borough,$burgh,Mere-burgh,Mereburgh,Mereborough
Middle English,Fortification,fortified place,$brough,$burgh,Stan-burgh,Stanburgh,Stanbrough
Middle English,Regional,eastern,East$,Est$,Est-ham,Estham,Eastham
Middle English,Regional,end,$end,$ende,Wode-ende,Wodende,Woodend
Middle English,Regional,high,Upper$,Over$,Over-ton,Overton,Upperton
Middle English,Regional,lower,Lower$,Nether$,Nether-ton,Netherton,Lowerton
Middle English,Regional,lower,Nether$,Nether$,Nether-burgh,Netherburgh,Netherbury
Middle English,Regional,northern,North$,North$,North-wic,Northwic,Northwich
Middle English,Regional,southern,South$,South$,South-wic,Southwic,Southwick
Middle English,Regional,upstream,Upper$,Over$,Over-ton,Overton,Upperton
Middle English,Regional,western,West$,West$,West-ham,Westham,Westham
Middle English,Sacred,chapel,$chapel,$chapele,West-chapele,Westchapel,Westchapel
Middle English,Sacred,monastery,$minster,$mynster,West-mynster,Westminstre,Westminster
Middle English,Sacred,monastic estate,$abbey,$abbaye,Thorn-abbaye,Thornabbey,Thorn Abbey
Middle English,Status,large,Great$,Magna$,Magna-by,Greatby,Greatby
Middle English,Status,new,New$,Neowe$,Neowe-burgh,Neweburgh,Newburgh
Middle English,Status,old,Old$,Olde$,Olde-tun,Oldton,Oldton
Middle English,Status,primary,Great$,Magna$,Magna-by,Greatby,Greatby
Middle English,Status,secondary,Little$,Parva$,Parva-ton,Littleton,Littleton
Middle English,Status,small,Little$,Parva$,Parva-ton,Littleton,Littleton
Middle German,Engineering,bridge,$bruck,$brucke,Inns-bruck,Inspruck,Innsbruck
Middle German,Engineering,city,$stadt,$stat,Koning-stat,Konigstat,Konigstadt
Middle German,Engineering,cluster of houses,$hausen,$hausen,Muhl-hausen,Mulhusen,Muhlhausen
Middle German,Engineering,estate,$leben,$leiba,Aschers-leiba,Aschersleben,Aschersleben
Middle German,Engineering,farm,$hof,$hof,Königs-hof,Konigshof,Königshof
Middle German,Engineering,hamlet,$weiler,$wilari,Burg-wilari,Burgwilre,Burgweiler
Middle German,Engineering,home,$heim,$heim,Hof-heim,Hofem,Hofheim
Middle German,Engineering,mill,$muhle,$mulin,Neue-mulin,Neumulin,Neumuhle
Middle German,Engineering,milling site,$muhle,$mulin,Neue-mulin,Neumulin,Neumuhle
Middle German,Engineering,people,$ingen,$ingen,Sigmaring-ingen,Sigmaringen,Sigmaringen
Middle German,Engineering,settlement,$heim,$heim,Hof-heim,Hofem,Hofheim
Middle German,Engineering,settlement,$leben,$leiba,Aschers-leiba,Aschersleben,Aschersleben
Middle German,Engineering,small settlement,$weiler,$wilari,Burg-wilari,Burgwilre,Burgweiler
Middle German,Engineering,town,$stadt,$stat,Koning-stat,Konigstat,Konigstadt
Middle German,Engineering,village,$dorf,$dorf,Duss-dorf,Dusseldorp,Dusseldorf
Middle German,Fortification,castle,$burg,$burg,Ham-burg,Hammaburg,Hamburg
Middle German,Sacred,church,$kirchen,$kirchen,Berg-kirchen,Bergkirchen,Bergkirchen
Middle German,Topography,corner edge,$eck,$ecke,Berg-eck,Bergeck,Bergeck
Middle German,Topography,field,$feld,$feld,Rosen-feld,Rosenfeld,Rosenfeld
Middle German,Topography,ford,$furt,$furt,Frankon-furt,Frankenford,Frankfurt
Middle German,Topography,forest,$wald,$wald,Schwarzen-wald,Swartzwald,Schwarzwald
Middle German,Topography,forest clearing,$rode,$rode,Werniger-rode,Wernigerode,Wernigerode
Middle German,Topography,lake,$see,$see,Konigs-see,Konigsee,Königssee
Middle German,Topography,low land,$grund,$grunt,Wies-grunt,Wiesgrund,Wiesengrund
Middle German,Topography,mountain,$berg,$berg,Königs-berg,Konigsberg,Kaliningrad
Middle German,Topography,open land,$feld,$feld,Rosen-feld,Rosenfeld,Rosenfeld
Middle German,Topography,ridge end,$eck,$ecke,Berg-eck,Bergeck,Bergeck
Middle German,Topography,river,$ach,$aha,Salz-aha,Salzach,Salzach
Middle German,Topography,river crossing,$furt,$furt,Frankon-furt,Frankenford,Frankfurt
Middle German,Topography,river island,$au,$ouwa,Rhein-ouwa,Rheinau,Rheinau
Middle German,Topography,rock,$stein,$stein,Falken-stein,Falkenstein,Falkenstein
Middle German,Topography,spring,$brunn,$brunnen,Heil-brunn,Heilbrunn,Heilbronn
Middle German,Topography,stone,$stein,$stein,Falken-stein,Falkenstein,Falkenstein
Middle German,Topography,stream,$ach,$aha,Salz-aha,Salzach,Salzach
Middle German,Topography,stream,$bach,$bach,An-bach,Onoltesbach,Ansbach
Middle German,Topography,thicket,$horst,$horst,Adler-horst,Adlerhorst,Adlerhorst
Middle German,Topography,valley,$tal,$tal,Rosen-tal,Rosental,Rosental
Middle German,Topography,valley,$thal,$thal,Rosen-thal,Rosenthal,Rosenthal
Middle German,Topography,valley floor,$grund,$grunt,Wies-grunt,Wiesgrund,Wiesengrund
Middle German,Topography,wet meadow,$au,$ouwa,Rhein-ouwa,Rheinau,Rheinau
Middle German,Topography,wooded clearing,$reuth,$riuti,Bayrisch-riuti,Bayerreuth,Bayreuth
Middle German,Topography,wooded rise,$horst,$horst,Adler-horst,Adlerhorst,Adlerhorst
Middle Scots,Engineering,building,$biggin,$bigging,Auld-bigging,Auldbiggin,Auldbiggin
Middle Scots,Engineering,settlement,$biggin,$bigging,Auld-bigging,Auldbiggin,Auldbiggin
Middle Scots,Engineering,town,Bal$,Bal$,Bal-gonie,Balgony,Balgonie
Middle Scots,Engineering,town farmstead,$town,$toun,New-toun,Newtoun,Newtown
Middle Scots,Engineering,village,$town,$toun,New-toun,Newtoun,Newtown
Middle Scots,Fortification,hill fort,Dun$,Dun$,Dun-idean,Dunedin,Edinburgh
Middle Scots,Regional,high,High$,Heich$,Heich-brae,Hiebrae,Highbrae
Middle Scots,Regional,lower,Nether$,Nether$,Nether-kirk,Netherkirk,Netherkirk
Middle Scots,Regional,upper,High$,Heich$,Heich-brae,Hiebrae,Highbrae
Middle Scots,Regional,upper,Over$,Over$,Over-muir,Overmuir,Overmuir
Middle Scots,Sacred,chapel,$chapel,$chapel,White-chapel,Quhitchapel,Whitechapel
Middle Scots,Sacred,church,$kirk,$kirk,Fawkirk,Fawkirk,Falkirk
Middle Scots,Sacred,religious site,$chapel,$chapel,White-chapel,Quhitchapel,Whitechapel
Middle Scots,Status,old,Auld$,Auld$,Auld-toun,Auldtoun,Auldton
Middle Scots,Topography,bog,$moss,$mos,Green-mos,Greenmoss,Greenmoss
Middle Scots,Topography,island,$inch,$innis,Innis-keith,Inchekeith,Inchkeith
Middle Scots,Topography,island,Inch$,Innis$,Innis-keith,Inchekeith,Inchkeith
Middle Scots,Topography,lake,$loch,$loch,Loch-side,Lochside,Lochside
Middle Scots,Topography,lake,Loch$,Loch$,Loch-side,Lochside,Lochside
Middle Scots,Topography,large stream,$burn,$burn,Bannoc-burn,Bannockburne,Bannockburn
Middle Scots,Topography,moor,$muir,$mure,Blak-mure,Blakmuir,Blackmuir
Middle Scots,Topography,mossland,$moss,$mos,Green-mos,Greenmoss,Greenmoss
Middle Scots,Topography,open upland,$muir,$mure,Blak-mure,Blakmuir,Blackmuir
Middle Scots,Topography,prominent hill,$law,$hlaw,Hwit-hlaw,Whytelaw,Whitelaw
Middle Scots,Topography,raised strip of land,$rig,$rig,Lang-rig,Langrig,Langrig
Middle Scots,Topography,ridge,$rig,$rig,Lang-rig,Langrig,Langrig
Middle Scots,Topography,river meadow,$haugh,$haugh,Nether-haugh,Netherhaugh,Netherhaugh
Middle Scots,Topography,river meadow,$inch,$innis,Innis-keith,Inchekeith,Inchkeith
Middle Scots,Topography,river meadow,Inch$,Innis$,Innis-keith,Inchekeith,Inchkeith
Middle Scots,Topography,river mouth,Aber$,Aber$,Aber-deen,Abirdeen,Aberdeen
Middle Scots,Topography,river mouth,Inver$,Inbhir $,Inbhir Nis,Inverness,Inverness
Middle Scots,Topography,sea inlet,$loch,$loch,Loch-side,Lochside,Lochside
Middle Scots,Topography,sea inlet,Loch$,Loch$,Loch-side,Lochside,Lochside
Middle Scots,Topography,slope,$brae,$brae,Heach-brae,Hiebrae,Highbrae
Middle Scots,Topography,small enclosed valley,$hope,$hop,Stan-hop,Stanhop,Stanhope
Middle Scots,Topography,steep-sided ravine,$cleuch,$cleuch,Deip-cleuch,Deepcleuch,Deepcleuch
Mycenaean Greek,Engineering,district,$deme,$damo,Aro-damo,Arodamon,Arodeme
Mycenaean Greek,Engineering,estate,$ijo,$i-jo,A-ke-re-i-jo,Akreijo,Acrio
Mycenaean Greek,Engineering,gathering,$agor,$agora,Kera-agoro,Keragora,Keragor
Mycenaean Greek,Engineering,house,$wick,$woikos,Pera-woikos,Perwoikos,Perwick
Mycenaean Greek,Engineering,market place,$agor,$agora,Kera-agoro,Keragora,Keragor
Mycenaean Greek,Engineering,settlement,$awa,$uwa,Ku-ta-uwa,Kytauwa,Kytawa
Mycenaean Greek,Engineering,settlement,$ipo,$i-po,Ra-ke-i-po,Lakeipo,Lacipo
Mycenaean Greek,Sacred,sacred place,$temen,$temenos,Po-ti-ni-ja-temeno,Potnia-temenos,Potnitemen
Mycenaean Greek,Sacred,sanctuary,$temen,$temenos,Po-ti-ni-ja-temeno,Potnia-temenos,Potnitemen
Mycenaean Greek,Topography,river,$water,$wodor,Akro-wodor,Acrowodor,Acrowater
Norman Norse-French Hybrid,Engineering,enclosure,$gard,$gardr,Vieux-gard,Viegard,Vigard
Norman Norse-French Hybrid,Engineering,estate,$ville,$villa,Toki-ville,Tocqueville,Tocqueville
Norman Norse-French Hybrid,Engineering,home,$tot,$toft,Yve-tot,Yvetot,Yvetot
Norman Norse-French Hybrid,Engineering,village,$ville,$villa,Toki-ville,Tocqueville,Tocqueville
Norman Norse-French Hybrid,Topography,brook,$bec,$bekkr,Caude-bec,Caudebec,Caudebec
Norman Norse-French Hybrid,Topography,grove,$londe,$lundr,La-londe,Lalonde,La Londe
Norman Norse-French Hybrid,Topography,hill,$hougue,$haugr,La-hougue,Lahougue,La Hougue
Norman Norse-French Hybrid,Topography,island,$homme,$holm,Le-hom,Lehomme,Le Hom
Norman Norse-French Hybrid,Topography,pond,$mare,$marr,Rouge-mare,Rougemare,Roumare
Norman Norse-French Hybrid,Topography,small lake,$mare,$marr,Rouge-mare,Rougemare,Roumare
Norman Norse-French Hybrid,Topography,stream,$bec,$bekkr,Caude-bec,Caudebec,Caudebec
Norman Norse-French Hybrid,Topography,valley,$dal,$dalr,Diep-dal,Dieppedal,Dieppedalle
Norman Norse-French Hybrid,Topography,water meadow,$homme,$holm,Le-hom,Lehomme,Le Hom
Norman Norse-French Hybrid,Topography,wood,$londe,$lundr,La-londe,Lalonde,La Londe
Old Catalan,Engineering,bridge,$pont,$pont,Nou-pont,Noupont,Nopont
Old Catalan,Engineering,port,$port,$portus,Bon-port,Bonport,Bonport
Old Catalan,Engineering,town,$vila,$villa,Nova-vila,Novavila,Novila
Old Catalan,Fortification,castle,$castell,$castellum,Bell-castell,Bellcastell,Bellcastell
Old Catalan,Topography,hill,$puig,$podium,Alt-puig,Altpuig,Puigalt
Old Catalan,Topography,mountain,$mont,$mont,Clar-mont,Clarmont,Claramunt
Old Catalan,Topography,plain,$pla,$planum,Nou-pla,Noupla,Noupla
Old Catalan,Topography,river,$riu,$rivus,Bell-riu,Bellriu,Bellriu
Old Catalan,Topography,spring,$font,$font,Clara-font,Clarafont,Clarafont
Old Catalan,Topography,valley,$vall,$vallis,Bella-vall,Bellavall,Bellvall
Old Czech/Moravian,Engineering,estate,$ov,$ovu,Mirosl-avu,Miroslav,Miroslav
Old Czech/Moravian,Engineering,people,$ice,$ici,Lito-ici,Litomice,Litomice
Old Czech/Moravian,Engineering,village,$ves,$vesu,Stara-vesu,Staraves,Stara Ves
Old Czech/Moravian,Fortification,castle,$hrad,$gradh,Vyse-hradh,Vysehrad,Vysehrad
Old Czech/Moravian,Topography,ford,$brod,$brodh,Havličkův-brod,Havlicuvbrod,Havličkův Brod
Old Czech/Moravian,Topography,mountain,$hora,$gora,Kutna-hora,Kutnahora,Kutna Hora
Old Danish,Engineering,bridge,$bro,$bro,Sten-bro,Stenbro,Stenbro
Old Danish,Engineering,farm,$by,$by,Svein-by,Sveinby,Svenby
Old Danish,Engineering,farm,$torp,$thorp,Niels-thorp,Nielsthorp,Nelstrup
Old Danish,Engineering,house,$toft,$toft,Rolf-toft,Rolftoft,Rolftoft
Old Danish,Engineering,village,$by,$by,Svein-by,Sveinby,Svenby
Old Danish,Topography,ford,$vad,$vad,Heste-vad,Hestevad,Hestvad
Old Danish,Topography,forest,$skov,$skogr,Ege-skov,Egeskov,Egeskov
Old Danish,Topography,grove,$lund,$lund,Aske-lund,Askelund,Askelund
Old Danish,Topography,harbor,$havn,$hofn,God-hofn,Godhavn,Godhavn
Old Danish,Topography,headland,$naes,$nes,Lang-nes,Langnes,Langnaes
Old Danish,Topography,island,$holm,$holm,Lang-holm,Langholm,Langholm
Old Danish,Topography,promontory,$naes,$nes,Lang-nes,Langnes,Langnaes
Old Danish,Topography,water meadow,$holm,$holm,Lang-holm,Langholm,Langholm
Old East Slavic,Engineering,free settlement,$sloboda,$sloboda,Nova-sloboda,Novasloboda,Sloboda
Old East Slavic,Engineering,portage,$volok,$voloku,Vysh-voloku,Vyshvolok,Vyshny Volochek
Old East Slavic,Engineering,settlement,$posad,$posadh,Torg-posadh,Torgposad,Posad
Old East Slavic,Engineering,tax-privileged village,$sloboda,$sloboda,Nova-sloboda,Novasloboda,Sloboda
Old East Slavic,Engineering,town,$gorod,$gorodh,Nov-gorodh,Novgorod,Novgorod
Old East Slavic,Fortification,fortified inner citadel,$kreml,$kreml,Beli-kreml,Belikreml,Belkreml
Old East Slavic,Topography,hill,$holm,$holmu,Krasni-holmu,Krasny Holm,Kholm
Old East Slavic,Topography,lake,$ozero,$ozero,Belo-ozero,Beloozero,Belozero
Old East Slavic,Topography,pine forest,$bor,$boru,Cerni-boru,Chernibor,Chernobor
Old English,Engineering,animal pen,$fold,$falod,Sceap-falod,Shepfold,Sheepfold
Old English,Engineering,assembly place,$stowe,$stowe,Edwines-stowe,Edwinstow,Edwinstowe
Old English,Engineering,cottage shelter,$cot,$cot,Aelf-cot,Alfcote,Alcott
Old English,Engineering,cottage shelter,$cott,$cot,Brade-cot,Bradecote,Bradcott
Old English,Engineering,cottage shelter,Cot$,Cot$,Aelf-cot,Alfcote,Alcott
Old English,Engineering,cottage shelter,Cott$,Cot$,Brade-cot,Bradecote,Bradcott
Old English,Engineering,cultivated land,$land,$land,Ead-land,Edland,Edland
Old English,Engineering,dwelling,$wich,$wic,Sand-wic,Sandwic,Sandwich
Old English,Engineering,dwelling,$wick,$wic,Sand-wic,Sandwic,Sandwich
Old English,Engineering,enclosed farm,$ton,$'s tun,Beorthelm's tun,Beorthelmstun,Brighton
Old English,Engineering,enclosed homestead,$worth,$worth,Tamere-worth,Tameworde,Tamworth
Old English,Engineering,farm dependent,$stock,$stoc,Wudu-stoc,Wudestoc,Woodstock
Old English,Engineering,farm dependent,$stoke,$stoc,Stoc-ham,Stocham,Stokeham
Old English,Engineering,farm dependent,Stock$,Stoc$,Wudu-stoc,Wudestoc,Woodstock
Old English,Engineering,farm dependent,Stoke$,Stoc$,Stoc-ham,Stocham,Stokeham
Old English,Engineering,homestead,$stead,$stede,Ham-stede,Hamstede,Hampstead
Old English,Engineering,homestead,$sted,$stede,Stede-ham,Stedeham,Stedham
Old English,Engineering,homestead,Sted$,Stede$,Stede-ham,Stedeham,Stedham
Old English,Engineering,homestead,Stede$,Stede$,Ham-stede,Hamstede,Hampstead
Old English,Engineering,house,$house,$hus,Stan-hus,Stanhus,Stonehouse
Old English,Engineering,large residence,$hall,$heall,Haga-heall,Hagehalle,Hagley Hall
Old English,Engineering,manor,$burgh,$burh,Eadmundes-burh,Edmundesbury,Bury St Edmunds
Old English,Engineering,manor,$bury,$burh,Eadmundes-burh,Edmundesbury,Bury St Edmunds
Old English,Engineering,manor house,$hall,$heall,Haga-heall,Hagehalle,Hagley Hall
Old English,Engineering,mill,$mill,$mylen,Mylen-tun,Mylentun,Milton
Old English,Engineering,mill,Mill$,Mylen$,Mylen-tun,Mylentun,Milton
Old English,Engineering,settlement,$land,$land,Ead-land,Edland,Edland
Old English,Engineering,small dwelling,$cot,$cot,Aelf-cot,Alfcote,Alcott
Old English,Engineering,small dwelling,$cott,$cot,Brade-cot,Bradecote,Bradcott
Old English,Engineering,small dwelling,Cot$,Cot$,Aelf-cot,Alfcote,Alcott
Old English,Engineering,small dwelling,Cott$,Cot$,Brade-cot,Bradecote,Bradcott
Old English,Engineering,small enclosed field,$croft,$croft,Tun-croft,Tuncroft,Towncroft
Old English,Engineering,small enclosed field,Croft$,Croft$,Tun-croft,Tuncroft,Towncroft
Old English,Engineering,substantial dwelling,$house,$hus,Stan-hus,Stanhus,Stonehouse
Old English,Engineering,village manor,$ham,$ham,Cippen-ham,Chippeham,Chippenham
Old English,Engineering,water landing,$hythe,$hyth,Hyth,Hithe,Hythe
Old English,Fortification,fortified enclosure,$burgh,$burh,Eadmundes-burh,Edmundesbury,Bury St Edmunds
Old English,Fortification,fortified enclosure,$bury,$burh,Eadmundes-burh,Edmundesbury,Bury St Edmunds
Old English,Fortification,military camp,$caster,$castra,Venta-castra,Wintanceastre,Winchester
Old English,Fortification,military camp,$chester,$castra,Venta-castra,Wintanceastre,Winchester
Old English,Sacred,church,$church,$cirice,Cirice-ham,Chircham,Churcham
Old English,Sacred,church,Church$,Cirice$,Cirice-ham,Chircham,Churcham
Old English,Sacred,religious boundary,$cross,$cros,Cros-tun,Crostun,Croston
Old English,Sacred,religious boundary,Cross$,Cros$,Cros-tun,Crostun,Croston
Old English,Topography,ash tree,Ash$,Aesc$,Aesc-tun,Ashton,Ashton
Old English,Topography,brook,$brook,$broc,Broc-ham,Brocham,Brookham
Old English,Topography,brook,Brook$,Broc$,Broc-ham,Brocham,Brookham
Old English,Topography,cliff,$cliff,$clif,Hwite-clif,Whitclif,Whitcliffe
Old English,Topography,fen,$fen,$fenn,Fenn-tun,Fentun,Fenton
Old English,Topography,heath,$heath,$haeth,Haeth-feld,Hethefeld,Heathfield
Old English,Topography,heath,Heath$,Haeth$,Haeth-feld,Hethefeld,Heathfield
Old English,Topography,hill,$don,$tun,Dun-tun,Duntun,Dunton
Old English,Topography,hill,$down,$tun,Dun-tun,Duntun,Dunton
Old English,Topography,hill,$hill,$hyll,Hyll-tun,Hiltun,Hilton
Old English,Topography,hill,Hill$,Hyll$,Hyll-tun,Hiltun,Hilton
Old English,Topography,island,$ea,$ig,Suth-ig,Sutheye,Suthey
Old English,Topography,island,$ey,$ig,Suth-ig,Sutheye,Suthey
Old English,Topography,lake,$mere,$mere,Mere-tun,Meretun,Merton
Old English,Topography,lake,Mere$,Mere$,Mere-tun,Meretun,Merton
Old English,Topography,marsh,$marsh,$mersc,Mersc-tun,Merstun,Marston
Old English,Topography,marsh,Marsh$,Mersc$,Mersc-tun,Merstun,Marston
Old English,Topography,marshland,$fen,$fenn,Fenn-tun,Fentun,Fenton
Old English,Topography,moor,$moor,$mor,Blac-mor,Blakemore,Blackmore
Old English,Topography,oak clearing,$oak,$ac,Ac-leah,Aclei,Oakley
Old English,Topography,oak clearing,Oak$,Ac$,Ac-leah,Aclei,Oakley
Old English,Topography,oak grove,$oak,$ac,Ac-leah,Aclei,Oakley
Old English,Topography,oak grove,Oak$,Ac$,Ac-leah,Aclei,Oakley
Old English,Topography,open land,$field,$feld,Sceap-feld,Shefeld,Sheffield
Old English,Topography,open upland,$moor,$mor,Blac-mor,Blakemore,Blackmore
Old English,Topography,pond,$pool,$pol,Pol-stede,Polstede,Poolstead
Old English,Topography,pond,Pool$,Pol$,Pol-stede,Polstede,Poolstead
Old English,Topography,raised strip of land,$ridge,$hrycg,Hrycg-leah,Ridgeley,Ridgely
Old English,Topography,raised strip of land,Ridge$,Hrycg$,Hrycg-leah,Ridgeley,Ridgely
Old English,Topography,ridge,$ridge,$hrycg,Hrycg-leah,Ridgeley,Ridgely
Old English,Topography,ridge,Ridge$,Hrycg$,Hrycg-leah,Ridgeley,Ridgely
Old English,Topography,river mouth,$mouth,$mutha,Ea-mutha,Emuthe,Yarmouth
Old English,Topography,shallow river crossing,$ford,$ford,Oxna-ford,Oxeneford,Oxford
Old English,Topography,small lake,$pool,$pol,Pol-stede,Polstede,Poolstead
