job_key,era,row_kind,pool_draw,wage_yield,value_add,tax_rate
careless fire keeper,prehistoric,deviation,1.0800,0.3800,0.4000,0.8200
child helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
craft helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
crisis leader,prehistoric,deviation,0.7800,4.1000,4.0000,1.3800
dependent helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
direct healer,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
eccentric healer,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
elder assistant,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
execution helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
false healer,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
false prophet,prehistoric,deviation,0.8800,1.3800,1.3200,1.1500
feud judge,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
fire specialist,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
firewood carrier,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
gambler,prehistoric,deviation,1.0800,0.3800,0.4000,0.8200
gatherer,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
gatherer near camp,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
half-trained healer,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
healer,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
hermit gatherer,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
isolated toolmaker,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
judge of disputes,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
lazy scout,prehistoric,deviation,1.0800,0.3800,0.4000,0.8200
light gatherer,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
masked ritual helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
neglectful stores helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
oath zealot,prehistoric,deviation,0.8800,1.3800,1.3200,1.1500
obsessive planner,prehistoric,deviation,0.8800,1.3800,1.3200,1.1500
obsessive toolmaker,prehistoric,deviation,0.8624,2.5530,2.5740,1.2420
obsessive tracker,prehistoric,deviation,0.8800,1.3800,1.3200,1.1500
passive gatherer,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
quiet healer,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
rare-tool specialist,prehistoric,deviation,0.8800,1.3800,1.3200,1.1500
risky inventor,prehistoric,deviation,0.9200,2.7500,2.9000,1.1800
risky strategist,prehistoric,deviation,0.9200,2.7500,2.9000,1.1800
ritual assistant,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
rival gatherer,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
rival helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
river gatherer,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
routine gatherer,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
rude toolmaker,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
sabotage helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
seasonal planner,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
shy helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
silent laborer,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
simple gatherer,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
sloppy tool helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
solitary gatherer,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
strategist,prehistoric,deviation,0.9200,2.7500,2.9000,1.1800
teacher,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
tool carrier,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
toolmaker,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
tradition helper,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
unreliable gatherer,prehistoric,deviation,1.0800,0.3800,0.4000,0.8200
unreliable messenger,prehistoric,deviation,1.0800,0.3800,0.4000,0.8200
unreliable trader,prehistoric,deviation,1.0800,0.3800,0.4000,0.8200
vision quest guide,prehistoric,deviation,0.6336,7.1760,6.6000,1.7825
visionary toolmaker,prehistoric,deviation,0.9800,1.8500,1.9500,1.0800
wood hauler,prehistoric,deviation,1.1000,0.5500,0.5800,0.9200
