innovation_id,source_id,source_link,source_title,analogue_name,category,domain,era_id,history_year,history_year_from,history_year_to,rank,spreadability,complexity,starter_prevalence,prerequisite_ids,curation_status,notes
history_of_water_supply_and_sanitation,invsrc_0106,Timeline of historic inventions.wiki:236,History of water supply and sanitation,municipal waterworks,domestic,sanitation,bronze_age,-2400,-2400,-2400,3,0.656,0.27,0.28,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
touchstone,invsrc_0107,Timeline of historic inventions.wiki:237,Touchstone,assay touchstones,material,materials,bronze_age,-2400,-2400,-2400,3,0.496,0.43,0.18,weighing_scale,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
dictionary,invsrc_0108,Timeline of historic inventions.wiki:238,Dictionary,Dictionary,communication,writing,bronze_age,-2300,-2300,-2300,3,0.676,0.51,0.4,writing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
protractor,invsrc_0110,Timeline of historic inventions.wiki:240,Protractor,angle gauges,science,scholarship,bronze_age,-2200,-2200,-2200,3,0.496,0.43,0.18,ruler_or_measuring_rod,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
iron_smelting,invsrc_0109,Timeline of historic inventions.wiki:239,Iron smelting,Iron smelting,material,materials,bronze_age,-2100,-2200,-2000,3,0.456,0.51,0.22,copper_smelting,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
chariot,invsrc_0112,Timeline of historic inventions.wiki:242,Chariot,Chariot,transport,transport,bronze_age,-2000,-2000,-2000,3,0.516,0.53,0.24,evidence_of_wheels_found;probable_first_domestication_of_the_horse,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
scissors,invsrc_0113,Timeline of historic inventions.wiki:243,Scissors,pivot shears,craft,toolmaking,bronze_age,-2000,-2000,-2000,3,0.496,0.43,0.18,copper_tools,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
water_clock,invsrc_0111,Timeline of historic inventions.wiki:241,Water clock,Water clock,science,scholarship,bronze_age,-2000,-2000,-2000,3,0.336,0.69,0.043,writing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
proto_alphabet,invsrc_0114,Timeline of historic inventions.wiki:244,Proto-alphabet,Proto-alphabet,communication,writing,bronze_age,-1850,-1850,-1850,3,0.676,0.51,0.28,writing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
surgical_treatise_appeared,invsrc_0115,Timeline of historic inventions.wiki:245,Surgical treatise appeared,surgical manuals,medicine,medicine,bronze_age,-1600,-1600,-1600,3,0.396,0.61,0.072,writing;amputation_and_surgery,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
glass_manufacture,invsrc_0117,Timeline of historic inventions.wiki:247,Glass manufacture,Glass manufacture,material,materials,bronze_age,-1500,-1500,-1500,3,0.456,0.51,0.22,kiln,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
seed_drill,invsrc_0118,Timeline of historic inventions.wiki:248,Seed drill,Seed drill,agriculture,agriculture,bronze_age,-1500,-1500,-1500,3,0.696,0.33,0.36,agriculture;ploughing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
sundial,invsrc_0116,Timeline of historic inventions.wiki:246,Sundial,Sundial,science,scholarship,bronze_age,-1500,-1500,-1500,3,0.336,0.69,0.043,star_chart,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
rubber_mesoamerican_ballgame,invsrc_0119,Timeline of historic inventions.wiki:249,"Rubber, Mesoamerican ballgame",rubber ball court games,culture,art,bronze_age,-1400,-1400,-1400,3,0.616,0.31,0.24,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
concrete,invsrc_0120,Timeline of historic inventions.wiki:250,Concrete,Concrete,material,materials,bronze_age,-1300,-1400,-1200,3,0.456,0.51,0.22,fired_bricks,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
lathe,invsrc_0121,Timeline of historic inventions.wiki:251,Lathe,Lathe,craft,toolmaking,bronze_age,-1300,-1300,-1300,3,0.496,0.43,0.18,woodworking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
distillation,invsrc_0122,Timeline of historic inventions.wiki:252,Distillation,perfumery distillation,craft,materials,iron_age,-1200,-1200,-1200,4,0.644,0.345,0.16,ceramics,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
star_catalogue,invsrc_0123,Timeline of historic inventions.wiki:256,Star catalogue,systematic star catalogues,science,scholarship,iron_age,-1100,-1100,-1100,4,0.324,0.725,0.058,star_chart;writing,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
saddle,invsrc_0124,Timeline of historic inventions.wiki:261,Saddle,Saddle,transport,transport,iron_age,-700,-700,-700,4,0.504,0.565,0.22,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
waterproof_concrete_in_use_by_the_assyrians,invsrc_0126,Timeline of historic inventions.wiki:266,"Waterproof concrete in use, by the Assyrians",hydraulic concrete,material,materials,iron_age,-688,-688,-688,4,0.444,0.545,0.18,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
crossbow,invsrc_0127,Timeline of historic inventions.wiki:267,Crossbow,crossbows,military,warfare,iron_age,-650,-650,-650,4,0.254,0.565,0.086,arrow;woodworking,reviewed,curated third pass: local analogue wording tightened while preserving prior balance
library_of_ashurbanipal,invsrc_0125,Timeline of historic inventions.wiki:262,Library of Ashurbanipal,catalogued royal archives,communication,writing,iron_age,-650,-700,-601,4,0.664,0.545,0.38,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
coins,invsrc_0128,Timeline of historic inventions.wiki:268,Coins,Coins,administration,accounting,iron_age,-600,-600,-600,4,0.544,0.605,0.28,weighing_scale;copper_smelting,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
crank_motion,invsrc_0135,Timeline of historic inventions.wiki:277,Crank motion,rotary crank drives,energy,power,iron_age,-550,-600,-501,4,0.504,0.565,0.22,evidence_of_wheels_found,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
high_carbon_steel_produced,invsrc_0130,Timeline of historic inventions.wiki:271,"High Carbon Steel, produced",high-carbon steel,material,materials,iron_age,-550,-600,-501,4,0.444,0.545,0.18,iron_smelting,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
wagonway,invsrc_0129,Timeline of historic inventions.wiki:269,Wagonway,Wagonway,transport,transport,iron_age,-550,-600,-501,4,0.504,0.565,0.22,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
lighthouse,invsrc_0137,Timeline of historic inventions.wiki:279,Lighthouse,Lighthouse,maritime,navigation,classical,-500,-500,-500,5,0.532,0.6,0.22,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
catapult,invsrc_0139,Timeline of historic inventions.wiki:284,Catapult,Catapult,military,warfare,classical,-485,-485,-485,5,0.242,0.6,0.072,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
scythed_chariot,invsrc_0140,Timeline of historic inventions.wiki:285,Scythed chariot,bladed chariots,military,warfare,classical,-485,-485,-485,5,0.242,0.6,0.072,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
spiral_stairs,invsrc_0142,Timeline of historic inventions.wiki:287,Spiral stairs,spiral stair towers,craft,toolmaking,classical,-480,-480,-480,5,0.472,0.5,0.1,surviving_building,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
cast_iron,invsrc_0141,Timeline of historic inventions.wiki:286,Cast iron,Cast iron,material,materials,classical,-450,-500,-401,5,0.432,0.58,0.16,iron_smelting,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
loan_deeds,invsrc_0136,Timeline of historic inventions.wiki:278,Loan deeds,Loan deeds,administration,accounting,classical,-450,-500,-401,5,0.532,0.64,0.32,writing;coins,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
wheelbarrow,invsrc_0143,Timeline of historic inventions.wiki:288,Wheelbarrow,single-wheel handcarts,transport,transport,classical,-407,-407,-407,5,0.242,0.6,0.072,evidence_of_wheels_found,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
camera_obscura_described,invsrc_0144,Timeline of historic inventions.wiki:289,Camera obscura described,dark-room image projection,domestic,household,classical,-400,-400,-400,5,0.632,0.38,0.14,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
animal_driven_rotary_mill,invsrc_0150,Timeline of historic inventions.wiki:298,Animal-driven rotary mill,animal-powered rotary mills,energy,power,classical,-362,-375,-350,5,0.492,0.6,0.2,crank_motion,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
0,invsrc_0145,Timeline of historic inventions.wiki:293,0,zero notation,science,scholarship,classical,-350,-400,-300,5,0.472,0.5,0.1,,reviewed,curated first pass: local analogue/category reviewed; rank retiered to broad era progression
cheque,invsrc_0152,Timeline of historic inventions.wiki:300,Cheque,Cheque,administration,accounting,classical,-350,-400,-301,5,0.532,0.64,0.32,loan_deeds,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
corporations,invsrc_0151,Timeline of historic inventions.wiki:299,Corporations,Corporations,administration,civics,classical,-350,-400,-301,5,0.532,0.64,0.32,loan_deeds,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
formal_systems,invsrc_0153,Timeline of historic inventions.wiki:301,Formal systems,formal logic systems,science,scholarship,classical,-350,-400,-301,5,0.312,0.76,0.058,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
gears,invsrc_0147,Timeline of historic inventions.wiki:295,Gears,Gears,craft,toolmaking,classical,-350,-400,-301,5,0.472,0.5,0.1,crank_motion,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
nailed_horseshoe_with_4_bronze_shoes_found,invsrc_0149,Timeline of historic inventions.wiki:297,"Nailed horseshoe, with 4 bronze shoes found",nailed horseshoes,material,materials,classical,-350,-400,-301,5,0.432,0.58,0.16,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
reed_pen,invsrc_0148,Timeline of historic inventions.wiki:296,Reed pen,Reed pen,communication,writing,classical,-350,-400,-301,5,0.652,0.58,0.36,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
toe_stirrup_depicted,invsrc_0138,Timeline of historic inventions.wiki:283,"Toe stirrup, depicted",toe stirrups,culture,art,classical,-350,-500,-200,5,0.592,0.42,0.16,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
traction_trebuchet,invsrc_0146,Timeline of historic inventions.wiki:294,Traction trebuchet,Traction trebuchet,military,warfare,classical,-350,-400,-301,5,0.242,0.6,0.072,catapult,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
analog_computers,invsrc_0155,Timeline of historic inventions.wiki:306,Analog computers,geared astronomical calculators,computing,computation,classical,-250,-300,-201,5,0.222,0.92,0,gears;formal_systems,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
archimedes_screw,invsrc_0156,Timeline of historic inventions.wiki:307,Archimedes' screw,Archimedes' screw,agriculture,irrigation,classical,-250,-300,-201,5,0.672,0.44,0.26,irrigation;gears,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
blast_furnace,invsrc_0162,Timeline of historic inventions.wiki:313,Blast furnace,blast furnaces,material,materials,classical,-250,-300,-201,5,0.432,0.58,0.16,iron_smelting,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
cam_during_the_hellenistic_period_used,invsrc_0158,Timeline of historic inventions.wiki:309,"Cam during the Hellenistic period, used",cam-driven automata,craft,toolmaking,classical,-250,-300,-201,5,0.472,0.5,0.1,gears;water_wheel,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
canal_lock,invsrc_0157,Timeline of historic inventions.wiki:308,Canal lock,Canal lock,transport,transport,classical,-250,-300,-201,5,0.492,0.6,0.2,irrigation,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
dry_dock_under_ptolemy_iv,invsrc_0161,Timeline of historic inventions.wiki:312,Dry dock under Ptolemy IV,dry docks,maritime,navigation,classical,-250,-300,-201,5,0.532,0.6,0.22,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
gimbal_described,invsrc_0160,Timeline of historic inventions.wiki:311,Gimbal described,gimballed mountings,domestic,household,classical,-250,-300,-201,5,0.632,0.38,0.14,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
water_wheel,invsrc_0159,Timeline of historic inventions.wiki:310,Water wheel,Water wheel,energy,power,classical,-250,-300,-201,5,0.262,0.8,0.029,gears,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
zinc_mining,invsrc_0154,Timeline of historic inventions.wiki:302,Zinc mining,zinc mine smelting,material,materials,classical,-250,-300,-201,5,0.432,0.58,0.16,iron_smelting,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
compass,invsrc_0164,Timeline of historic inventions.wiki:319,Compass,Compass,maritime,navigation,classical,-206,-206,-206,5,0.532,0.6,0.22,sailing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
astrolabe_invented,invsrc_0165,Timeline of historic inventions.wiki:320,Astrolabe invented,astrolabes,science,scholarship,classical,-150,-200,-101,5,0.312,0.76,0.058,star_chart,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
paper,invsrc_0163,Timeline of historic inventions.wiki:318,Paper,Paper,communication,writing,classical,-150,-200,-101,5,0.652,0.58,0.26,writing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
arch_dam,invsrc_0168,Timeline of historic inventions.wiki:325,Arch dam,Arch dam,agriculture,irrigation,classical,-50,-100,-1,5,0.672,0.44,0.26,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
news_bulletin_during_the_reign_of_julius_caesar,invsrc_0167,Timeline of historic inventions.wiki:324,News bulletin during the reign of Julius Caesar,public news bulletins,communication,writing,classical,-50,-100,-1,5,0.652,0.58,0.36,paper;writing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
segmental_arch_bridge,invsrc_0166,Timeline of historic inventions.wiki:323,Segmental arch bridge,segmental-arch bridges,transport,transport,classical,-50,-100,-1,5,0.492,0.6,0.2,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
trip_hammer,invsrc_0169,Timeline of historic inventions.wiki:326,Trip hammer,Trip hammer,energy,power,classical,-40,-40,-40,5,0.262,0.8,0.029,water_wheel,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
glass_blowing_developed,invsrc_0170,Timeline of historic inventions.wiki:327,Glass blowing developed,glass blowing,material,materials,classical,-26,-37,-14,5,0.432,0.58,0.16,glass_manufacture,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
noodle,invsrc_0172,Timeline of historic inventions.wiki:329,Noodle,Noodle,craft,toolmaking,classical,-25,-25,-25,5,0.472,0.5,0.1,,unreviewed,"excluded pending curation: source row is too specific, branded, or ambiguous for a local analogue"
reverse_overshot_water_wheel,invsrc_0171,Timeline of historic inventions.wiki:328,Reverse overshot water wheel,reverse overshot wheels,energy,power,classical,-25,-25,-25,5,0.262,0.8,0.029,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
aeolipile_a_simple_steam_turbine_is_recorded,invsrc_0173,Timeline of historic inventions.wiki:332,"Aeolipile, a simple steam turbine is recorded",steam reaction toys,energy,power,classical,50,1,100,5,0.262,0.8,0.029,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
surviving_wine,invsrc_0175,Timeline of historic inventions.wiki:334,Surviving wine,Surviving wine,craft,toolmaking,classical,50,1,100,5,0.472,0.5,0.1,,unreviewed,"excluded pending curation: source row is too specific, branded, or ambiguous for a local analogue"
use_of_respiratory_protective_equipment_is_documented,invsrc_0174,Timeline of historic inventions.wiki:333,Use of respiratory protective equipment is documented,protective breath filters,material,materials,classical,50,1,100,5,0.432,0.58,0.16,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
vending_machines_invented,invsrc_0176,Timeline of historic inventions.wiki:335,Vending machines invented,coin-operated dispensers,administration,commerce,classical,50,1,100,5,0.532,0.64,0.32,,reviewed,curated second pass: source-title artifact localized and category/prerequisite balance reviewed
seismometer,invsrc_0177,Timeline of historic inventions.wiki:339,Seismometer,Seismometer,science,scholarship,classical,132,132,132,5,0.312,0.76,0.058,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
carding,invsrc_0178,Timeline of historic inventions.wiki:340,Carding,fiber carding,craft,textiles,classical,150,101,200,5,0.472,0.5,0.1,spindle_whorl,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
crystallized_sugar,invsrc_0179,Timeline of historic inventions.wiki:344,Crystallized sugar,sugar crystallization,craft,materials,classical,250,201,300,5,0.472,0.5,0.1,agriculture,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
water_turbine,invsrc_0181,Timeline of historic inventions.wiki:346,Water turbine,Water turbine,energy,power,classical,250,201,300,5,0.262,0.8,0.029,water_wheel,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
woodblock_printing,invsrc_0180,Timeline of historic inventions.wiki:345,Woodblock printing,Woodblock printing,communication,writing,classical,250,201,300,5,0.652,0.58,0.36,paper,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
oil_well,invsrc_0186,Timeline of historic inventions.wiki:361,Oil Well,drilled oil wells,energy,power,classical,347,347,347,5,0.262,0.8,0.029,,reviewed,curated second pass: source-title artifact localized and category/prerequisite balance reviewed
dichroic_glass,invsrc_0183,Timeline of historic inventions.wiki:351,Dichroic glass,dichroic glassmaking,material,materials,classical,350,301,400,5,0.432,0.58,0.16,glass_blowing_developed,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
fishing_reel,invsrc_0185,Timeline of historic inventions.wiki:360,Fishing reel,line fishing reels,maritime,navigation,classical,350,301,400,5,0.472,0.5,0.1,fish_hook,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
simple_suspension_bridge,invsrc_0184,Timeline of historic inventions.wiki:352,Simple suspension bridge,rope suspension bridges,transport,transport,classical,350,301,400,5,0.432,0.58,0.16,rope_and_cordage,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
iron_pillar_of_delhi,invsrc_0187,Timeline of historic inventions.wiki:366,Iron pillar of Delhi,corrosion-resistant wrought iron,material,materials,classical,400,400,400,5,0.432,0.58,0.16,iron_smelting,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
chaturanga_a_precursor_of_chess_was_invented,invsrc_0182,Timeline of historic inventions.wiki:350,"Chaturanga, a precursor of Chess was invented",strategy board games,craft,toolmaking,classical,415,280,550,5,0.472,0.5,0.1,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
horse_collar,invsrc_0188,Timeline of historic inventions.wiki:368,Horse collar,Horse collar,transport,transport,classical,450,401,500,5,0.492,0.6,0.2,saddle,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
pointed_arch_bridge,invsrc_0189,Timeline of historic inventions.wiki:369,Pointed arch bridge,pointed arch bridges,transport,transport,classical,450,401,500,5,0.472,0.5,0.1,segmental_arch_bridge,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
charkha_invented,invsrc_0191,Timeline of historic inventions.wiki:374,Charkha invented,spinning wheels,craft,textiles,medieval,500,500,500,6,0.46,0.535,0.08,,reviewed,curated second pass: source-title artifact localized and category/prerequisite balance reviewed
construct_prosthetic_limbs,invsrc_0133,Timeline of historic inventions.wiki:275,Construct Prosthetic limbs,fitted prosthetic limbs,medicine,medicine,medieval,550,501,600,6,0.36,0.715,0.058,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
incense_clock,invsrc_0190,Timeline of historic inventions.wiki:373,Incense clock,incense timekeepers,science,scholarship,medieval,550,501,600,6,0.46,0.535,0.08,water_clock,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
perform_caesarean_section,invsrc_0132,Timeline of historic inventions.wiki:274,Perform Caesarean section,caesarean surgery,medicine,medicine,medieval,550,501,600,6,0.36,0.715,0.058,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
perform_cataract_surgery,invsrc_0131,Timeline of historic inventions.wiki:273,Perform cataract surgery,cataract couching,medicine,medicine,medieval,550,501,600,6,0.36,0.715,0.058,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
plastic_surgery,invsrc_0134,Timeline of historic inventions.wiki:276,Plastic surgery,reconstructive surgery manuals,medicine,medicine,medieval,550,501,600,6,0.36,0.715,0.058,rhinoplasty;surgical_treatise_appeared,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
pendentive_dome,invsrc_0192,Timeline of historic inventions.wiki:375,Pendentive dome,pendentive domes,craft,toolmaking,medieval,563,563,563,6,0.46,0.535,0.08,concrete,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
sulfur_matches_exist,invsrc_0193,Timeline of historic inventions.wiki:376,Sulfur matches exist,sulfur matches,craft,toolmaking,medieval,577,577,577,6,0.46,0.535,0.08,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
toilet_paper,invsrc_0194,Timeline of historic inventions.wiki:377,Toilet paper,Toilet paper,domestic,sanitation,medieval,589,589,589,6,0.62,0.415,0.14,paper,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
toothbrush,invsrc_0195,Timeline of historic inventions.wiki:381,Toothbrush,bristle toothbrushes,domestic,household,medieval,619,619,619,6,0.46,0.535,0.08,dentistry,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
banknote,invsrc_0197,Timeline of historic inventions.wiki:383,Banknote,Banknote,administration,accounting,medieval,650,601,700,6,0.52,0.675,0.18,paper;coins,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
porcelain,invsrc_0198,Timeline of historic inventions.wiki:384,Porcelain,hard-paste porcelain,material,materials,medieval,650,601,700,6,0.46,0.535,0.08,kiln,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
greek_fire,invsrc_0196,Timeline of historic inventions.wiki:382,Greek fire,sealed incendiary siphons,military,warfare,medieval,672,672,672,6,0.23,0.635,0.043,glass_manufacture,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
gunpowder,invsrc_0199,Timeline of historic inventions.wiki:392,Gunpowder,gunpowder mixtures,military,warfare,medieval,850,801,900,6,0.23,0.635,0.043,sulfur_matches_exist,reviewed,curated third pass: local analogue wording tightened while preserving prior balance
playing_card,invsrc_0200,Timeline of historic inventions.wiki:393,Playing card,paper playing cards,culture,art,medieval,850,801,900,6,0.46,0.535,0.08,paper,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
fire_lance,invsrc_0201,Timeline of historic inventions.wiki:397,Fire lance,fire lances,military,warfare,medieval,950,901,1000,6,0.23,0.635,0.043,gunpowder,reviewed,curated third pass: local analogue wording tightened while preserving prior balance
fireworks,invsrc_0202,Timeline of historic inventions.wiki:398,Fireworks,signal fireworks,military,warfare,medieval,950,901,1000,6,0.23,0.635,0.043,gunpowder,reviewed,curated third pass: local analogue wording tightened while preserving prior balance
fountain_pen,invsrc_0203,Timeline of historic inventions.wiki:399,Fountain pen,reservoir pens,communication,writing,medieval,974,974,974,6,0.46,0.535,0.08,reed_pen,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
calico_was_developed,invsrc_0206,Timeline of historic inventions.wiki:405,Calico was developed,printed cotton cloth,craft,textiles,medieval,1050,1001,1100,6,0.46,0.535,0,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
early_versions_of_the_bessemer_process_are_developed,invsrc_0204,Timeline of historic inventions.wiki:403,Early versions of the Bessemer process are developed,crucible steel refining,material,materials,medieval,1050,1001,1100,6,0.42,0.615,0,high_carbon_steel_produced,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
endless_power_transmitting_chain_drive,invsrc_0205,Timeline of historic inventions.wiki:404,Endless power-transmitting chain drive,endless chain drives,energy,power,medieval,1050,1001,1100,6,0.25,0.835,0,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
movable_type,invsrc_0207,Timeline of historic inventions.wiki:406,Movable type,Movable type,communication,writing,medieval,1088,1088,1088,6,0.64,0.615,0,paper,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
bomb,invsrc_0211,Timeline of historic inventions.wiki:416,Bomb,explosive bombs,military,warfare,medieval,1250,1201,1300,6,0.23,0.635,0,gunpowder,reviewed,curated third pass: local analogue wording tightened while preserving prior balance
button,invsrc_0210,Timeline of historic inventions.wiki:415,Button,buttonhole fasteners,domestic,household,medieval,1250,1201,1300,6,0.46,0.535,0,sewing_needle,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
double_entry_bookkeeping,invsrc_0214,Timeline of historic inventions.wiki:419,Double-entry bookkeeping,Double-entry bookkeeping,communication,writing,medieval,1250,1201,1300,6,0.64,0.615,0,banknote;cheque,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
form_of_mechanical_escapement_the_verge_escapement,invsrc_0209,Timeline of historic inventions.wiki:414,"Form of mechanical escapement, the verge escapement",verge escapements,craft,toolmaking,medieval,1250,1201,1300,6,0.46,0.535,0,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
hand_cannon,invsrc_0212,Timeline of historic inventions.wiki:417,Hand cannon,hand cannons,military,warfare,medieval,1250,1201,1300,6,0.23,0.635,0,fire_lance,reviewed,curated third pass: local analogue wording tightened while preserving prior balance
rocket,invsrc_0208,Timeline of historic inventions.wiki:413,Rocket,Rocket,military,warfare,medieval,1250,1201,1300,6,0.23,0.635,0,gunpowder,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
snow_goggles,invsrc_0213,Timeline of historic inventions.wiki:418,Snow goggles,slit snow goggles,domestic,household,medieval,1250,1201,1300,6,0.42,0.615,0,bone_tool,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
worm_gear_cotton_gin,invsrc_0215,Timeline of historic inventions.wiki:420,Worm gear cotton gin,geared cotton gins,craft,textiles,medieval,1250,1201,1300,6,0.46,0.535,0,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
land_mine,invsrc_0216,Timeline of historic inventions.wiki:421,Land mine,Land mine,military,warfare,medieval,1277,1277,1277,6,0.23,0.635,0,gunpowder,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
eyeglasses,invsrc_0217,Timeline of historic inventions.wiki:422,Eyeglasses,corrective eyeglasses,medicine,medicine,medieval,1286,1286,1286,6,0.42,0.615,0,glass_manufacture,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
